Genus,Guild1,Guild2,Guild3,References,,,
Aeromonas,PlantBeneficial,Biocontrol/PGP/StressResistance,NitrogenFixation/PSolubilization/IAA/ACC/Halotolerant,"Etesami, H., & Glick, B. R. (2020). Halotolerant plant growth每promoting bacteria: Prospects for alleviating salinity stress in plants. Environmental and Experimental Botany, 178, 104124.","Tapia-Garc赤a, E. Y., Hern芍ndez-Trejo, V., Guevara-Luna, J., Rojas-Rojas, F. U., Arroyo-Herrera, I., Meza-Radilla, G., ... & Estrada-de Los Santos, P. (2020). Plant growth-promoting bacteria isolated from wild legume nodules and nodules of Phaseolus vulgaris L. trap plants in central and southern Mexico. Microbiological Research, 239, 126522.",,
Agromyces,PlantBeneficial,PGP,IAA/Siderophores,"Yun, B. R., Roh, S. G., & Kim, S. B. (2017). Diversity and physiological properties of soil actinobacteria in Ulleung Island. Korean Journal of Microbiology, 53(4), 242-250.",,,
Alcaligenes,PlantBeneficial,Biocontrol/PGP/StressResistance,ACC/Drought,"Hakim, S., Naqqash, T., Nawaz, M. S., Laraib, I., Siddique, M. J., Zia, R., ... & Imran, A. (2021). Rhizosphere engineering with plant growth-promoting microorganisms for agriculture and ecological sustainability. Frontiers in Sustainable Food Systems, 5, 617157.","Abdallah, R. A. B., Mokni-Tlili, S., Nefzi, A., Jabnoun-Khiareddine, H., & Daami-Remadi, M. (2016). Biocontrol of Fusarium wilt and growth promotion of tomato plants using endophytic bacteria isolated from Nicotiana glauca organs.?Biological control,?97, 80-88.",,
Alishewanella,PlantBeneficial,PGP,IAA/PSolubilization,"Enquahone, S., van Marle, G., & Simachew, A. (2022). Plant growth-promoting characteristics of halotolerant endophytic bacteria isolated from Sporobolus specatus (Vahr) Kunth and Cyperus laevigatus L. of Ethiopian rift valley lakes.?Archives of Microbiology,?204(7), 1-15.",,,
Alloactinosynnema,PlantBeneficial,Biocontrol/PGP,Psolubilization,"Mohamad, O. A. A., Liu, Y. H., Li, L., Ma, J. B., Huang, Y., Gao, L., ... & Li, W. J. (2022). Synergistic Plant-Microbe Interactions between Endophytic Actinobacteria and Their Role in Plant Growth Promotion and Biological Control of Cotton under Salt Stress.?Microorganisms,?10(5), 867.",,,
Alteromonas,PlantBeneficial,Biocontrol/PGP,,"Cao, J. Y., Wang, Y. Y., Wu, M. N., Kong, Z. Y., Lin, J. H., Ling, T., ... & Xu, J. L. (2021). RNA-seq Insights Into the Impact of Alteromonas macleodii on Isochrysis galbana. Frontiers in Microbiology, 2658.","Sandhya, S. V., & Vijayan, K. K. (2019). Symbiotic association among marine microalgae and bacterial flora: a study with special reference to commercially important Isochrysis galbana culture.?Journal of Applied Phycology,?31, 2259-2266.",,
Ammoniphilus,PlantBeneficial,PGP,IAA/Psolubilization/Ksolubilization/Siderophores,"Debasis, M., Sne?ana, A., Panneerselvam, P., Manisha, S. A., Tanja, V., Ganeshamurthy, A. N., ... & Divya, J. (2019). Plant growth promoting microorganisms (PGPMs) helping in sustainable agriculture: current perspective.?International Journal of Agricultural Sciences and Veterinary Medicine, Bd,?7(2), 50-74.",,,
Amycolatopsis,PlantBeneficial,PGP,IAA/Siderophores,"Alekhya, G., & Gopalakrishnan, S. (2016). Exploiting plant growth-promoting Amycolatopsis sp. in chickpea and sorghum for improving growth and yield. Journal of Food Legumes, 29(3and4), 225-231.",,,
Anabaena,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Anabaenopsis,PlantBeneficial,PGP,IAA,"Rai, A. N., Singh, A. K., & Syiem, M. B. (2019). Plant growth-promoting abilities in cyanobacteria. In Cyanobacteria (pp. 459-476). Academic Press.",,,
Anaerobacillus,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Ancylobacter,PlantBeneficial,PGP,PSolubilization,"Suarez, C., Ratering, S., Sch fer, J., & Schnell, S. (2017). Ancylobacter pratisalsi sp. nov. with plant growth promotion abilities from the rhizosphere of Plantago winteri Wirtg. International Journal of Systematic and Evolutionary Microbiology, 67(11), 4500-4506.",,,
Aneurinibacillus,PlantBeneficial,PGP,NitrogenFixation/ACC/PSolubilization,"Kour, D., Rana, K. L., Yadav, N., Yadav, A. N., Kumar, A., Meena, V. S., ... & Saxena, A. K. (2019). Rhizospheric microbiomes: biodiversity, mechanisms of plant growth promotion, and biotechnological applications for sustainable agriculture. In Plant Growth Promoting Rhizobacteria for Agricultural Sustainability (pp. 19-65). Springer, Singapore.",,,
Aquamicrobium,PlantBeneficial,PGP,,"Adelere, I. A., & Lateef, A. (2022). Valorization of Feather by Bacillus safensis and Aquamicrobium defluvii for Growth Promotion in Leafy Vegetables.?Waste and Biomass Valorization, 1-15.",,,
Aquimonas,PlantBeneficial,PGP,IAA,"Zhang, B., Chen, J., Su, Y., Sun, W., & Zhang, A. (2022). Utilization of indole-3-acetic acid每secreting bacteria in algal environment to increase biomass accumulation of ochromonas and chlorella.?BioEnergy Research,?15(1), 242-252.",,,
Aquitalea,PlantBeneficial,PGP,,"Ishizawa, H., Kuroda, M., Morikawa, M., & Ike, M. (2017). Evaluation of environmental bacterial communities as a factor affecting the growth of duckweed Lemna minor.?Biotechnology for biofuels,?10(1), 1-10.",,,
Arcobacter,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Arcticibacter,PlantBeneficial,PGP,PSolubilization,"Li, X., Feng, C., Chen, L., Liu, F., Wang, L., Luo, K., & Pang, Y. (2021). Cultivable rhizobacteria improve castor bean seedlings root and plant growth in Pb每Zn treated soil. Rhizosphere, 19, 100406.",,,
Arthrobacter,PlantHarmful/Beneficial,Plant pathogen/PGP/StressResistance,NitrogenFixation/IAA/PSolubilization/Ksolubilization/Halotolerant/Siderophores/,"Vel芍zquez-Becerra, C., Mac赤as-Rodr赤guez, L. I., L車pez-Bucio, J., Flores-Cortez, I., Santoyo, G., Hern芍ndez-Soberano, C., & Valencia-Cantero, E. (2013). The rhizobacterium Arthrobacter agilis produces dimethylhexadecylamine, a compound that inhibits growth of phytopathogenic fungi in vitro.?Protoplasma,?250(6), 1251-1262.","Subrahmanyam, G., Kumar, A., Sandilya, S. P., Chutia, M., & Yadav, A. N. (2020). Diversity, plant growth promoting attributes, and agricultural applications of rhizospheric microbes. In Plant microbiomes for sustainable agriculture (pp. 1-52). Springer, Cham.","Bull, C. T., De Boer, S. H., Denny, T. P., Firrao, G., Saux, M. F. L., Saddler, G. S., ... & Takikawa, Y. (2010). Comprehensive list of names of plant pathogenic bacteria, 1980-2007.?Journal of plant pathology, 551-592.",
Asticcacaulis,PlantBeneficial,PGP,,"Okazaki, K., Tsurumaru, H., Hashimoto, M., Takahashi, H., Okubo, T., Ohwada, T., ... & Ikeda, S. (2021). Community analysis-based screening of plant growth-promoting bacteria for sugar beet. Microbes and environments, 36(2), ME20137.",,,
Auraticoccus,PlantBeneficial,PGP,NitrogenFixation,"Setten, L., Soto, G., Mozzicafreddo, M., Fox, A. R., Lisi, C., Cuccioloni, M., ... & Ayub, N. D. (2013). Engineering Pseudomonas protegens Pf-5 for nitrogen fixation and its application to improve plant growth under nitrogen-deficient conditions.?PLoS One,?8(5), e63666.",,,
Azoarcus,PlantBeneficial,PGP,NitrogenFixation,"Reinhold-hurek (1993) - Azoarcus gen, nov.,Nitrogen-Fixing Proteobacteria Associated with Roots of Kallar Grass (LeptochZoafusca (L.) Kunth), and Description of Two Species, Azoarcus indigens sp. nov. andhoarcus communis sp. nov.",,,
Azomonas,PlantBeneficial,PGP,IAA,"Panwar, M., Tewari, R., & Nayyar, H. (2014). Microbial consortium of plant growth-promoting rhizobacteria improves the performance of plants growing in stressed soils: an overview. Phosphate solubilizing microorganisms, 257-285.",,,
Azorhizobium,PlantBeneficial,PGP,,"Liu, H., Wang, X., Qi, H., Wang, Q., Chen, Y., Li, Q., ... & Xie, Y. (2017). The infection and impact of Azorhizobium caulinodans ORS571 on wheat (Triticum aestivum L.).?PLoS One,?12(11), e0187947.","Sabry, S. R., Saleh, S. A., Batchelor, C. A., Jones, J., Jotham, J., Webster, G., ... & Cocking, E. C. (1997). Endophytic establishment of Azorhizobium caulinodans in wheat.?Proceedings of the Royal Society of London. Series B: Biological Sciences,?264(1380), 341-346.",,
Azospira,PlantBeneficial,PGP,NitrogenFixation/Phytohormones,"Costacurta, A., & Vanderleyden, J. (1995). Synthesis of phytohormones by plant-associated bacteria.?Critical reviews in microbiology,?21(1), 1-18.","Mantelin, S., & Touraine, B. (2004). Plant growth坼promoting bacteria and nitrate availability: impacts on root development and nitrate uptake.?Journal of experimental Botany,?55(394), 27-34.","Haichar, F. E. Z., Marol, C., Berge, O., Rangel-Castro, J. I., Prosser, J. I., Balesdent, J., ... & Achouak, W. (2008). Plant host habitat and root exudates shape soil bacterial community structure. The ISME journal, 2(12), 1221-1230.",
Azospirillum,PlantBeneficial,Biocontrol/PGP,NitrogenFixation/ACC/Gibberellin,"Ole里ska, E., Ma?ek, W., W車jcik, M., Swiecicka, I., Thijs, S., & Vangronsveld, J. (2020). Beneficial features of plant growth-promoting rhizobacteria for improving plant growth and health in challenging conditions: A methodical review.?Science of the Total Environment,?743, 140682.","Mehmood, M. A., Fu, Y., Zhao, H., Cheng, J., Xie, J., & Jiang, D. (2022). Enrichment of bacteria involved in the nitrogen cycle and plant growth promotion in soil by sclerotia of rice sheath blight fungus. Stress Biology, 2(1), 1-13.",,
Azotobacter,PlantBeneficial,Biocontrol/PGP,IAA/PSolubilization/Siderophores,"Ole里ska, E., Ma?ek, W., W車jcik, M., Swiecicka, I., Thijs, S., & Vangronsveld, J. (2020). Beneficial features of plant growth-promoting rhizobacteria for improving plant growth and health in challenging conditions: A methodical review.?Science of the Total Environment,?743, 140682.","Mehmood, M. A., Fu, Y., Zhao, H., Cheng, J., Xie, J., & Jiang, D. (2022). Enrichment of bacteria involved in the nitrogen cycle and plant growth promotion in soil by sclerotia of rice sheath blight fungus. Stress Biology, 2(1), 1-13.",,
Bacillus,PlantHarmful/Beneficial,Plant pathogen/Biocontrol/PGP/StressResistance,NitrogenFixation/PSolubilization/Ksolubilization/IAA/ACC/Siderophores/Halotolerant,"Fira, D., Dimki?, I., Beri?, T., Lozo, J., & Stankovi?, S. (2018). Biological control of plant pathogens by Bacillus species.?Journal of biotechnology,?285, 44-55.",,,
Bacteriovorax,PlantBeneficial,Biocontrol,,"Wen, C., Xue, M., Liang, H., & Zhou, S. (2014). Evaluating the potential of marine Bacteriovorax sp. DA5 as a biocontrol agent against vibriosis in Litopenaeus vannamei larvae. Veterinary Microbiology, 173(1-2), 84-91.",,,
Bdellovibrio,PlantBeneficial,PGP,,"Saxon, E. B. (2015). Testing the effects of Bdellovibrio on wheat (Triticum aestivum) and as a food security agent in mushrooms (Agaricus bisporus) (Doctoral dissertation, University of Nottingham).",,,
Beijerinckia,PlantBeneficial,PGP,PSolubilization,"dos Santos, J. P. R. (2018). Use of environmental bacteria as plant growth promoters.",,,
Bhargavaea,PlantBeneficial,PGP/StressResistance,Halotolerant,"Zhang, S., Fan, C., Wang, Y., Xia, Y., Xiao, W., & Cui, X. (2018). Salt-tolerant and plant-growth-promoting bacteria isolated from high-yield paddy soil.?Canadian journal of microbiology,?64(12), 968-978.",,,
Blastococcus,PlantBeneficial,PGP,,"Hamedi, J., & Mohammadipanah, F. (2015). Biotechnological application and taxonomical distribution of plant growth promoting actinobacteria. Journal of industrial microbiology and biotechnology, 42(2), 157-171.",,,
Bosea,PlantBeneficial,PGP,,"Yuan, W., Ruan, S., Qi, G., Wang, R., & Zhao, X. (2022). Plant growth坼promoting and antibacterial activities of cultivable bacteria alive in tobacco field against Ralstonia solanacearum. Environmental Microbiology, 24(3), 1411-1429.",,,
Brachybacterium,PlantBeneficial,PGP/StressResistance,NitrogenFixation/IAA/PSolubilization/Halotolerant,"Etesami, H., & Glick, B. R. (2020). Halotolerant plant growth每promoting bacteria: Prospects for alleviating salinity stress in plants. Environmental and Experimental Botany, 178, 104124.",,,
Bradyrhizobium,PlantBeneficial,PGP,NitrogenFixation/IAA/ACC/Siderophores,"Antoun, H., Beauchamp, C. J., Goussard, N., Chabot, R., & Lalande, R. (1998). Potential of Rhizobium and Bradyrhizobium species as plant growth promoting rhizobacteria on non-legumes: effect on radishes (Raphanus sativus L.). In?Molecular microbial ecology of the soil?(pp. 57-67). Springer, Dordrecht.","Hakim, S., Naqqash, T., Nawaz, M. S., Laraib, I., Siddique, M. J., Zia, R., ... & Imran, A. (2021). Rhizosphere engineering with plant growth-promoting microorganisms for agriculture and ecological sustainability. Frontiers in Sustainable Food Systems, 5, 617157.",,
Brasilonema,PlantBeneficial,PGP,,"Alvarenga, D. O., Franco, M. W., Sivonen, K., Fiore, M. F., & Varani, A. M. (2020). Evaluating Eucalyptus leaf colonization by Brasilonema octagenarum (Cyanobacteria, Scytonemataceae) using in planta experiments and genomics.?PeerJ,?8, e9158.",,,
Brevibacillus,PlantHarmful/Beneficial,Plant pathogen/PGP,IAA/PSolubilization,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Brevibacterium,PlantBeneficial,Biocontrol/PGP/StressResistance,NitrogenFixation/IAA/ACC/PSolubilization/Halotolerant,"Etesami, H., & Glick, B. R. (2020). Halotolerant plant growth每promoting bacteria: Prospects for alleviating salinity stress in plants. Environmental and Experimental Botany, 178, 104124.",,,
Brevundimonas,PlantHarmful/Beneficial,Plant pathogen/PGP,IAA,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.","Zhang, B., Chen, J., Su, Y., Sun, W., & Zhang, A. (2022). Utilization of indole-3-acetic acid每secreting bacteria in algal environment to increase biomass accumulation of ochromonas and chlorella.?BioEnergy Research,?15(1), 242-252.",,
Brochothrix,PlantBeneficial,Biocontrol,,"Aslani, M. A., Harighi, B., & Abdollahzadeh, J. (2018). Screening of endofungal bacteria isolated from wild growing mushrooms as potential biological control agents against brown blotch and internal stipe necrosis diseases of Agaricus bisporus.?Biological Control,?119, 20-26.",,,
Bryobacter,PlantBeneficial,PGP,,"Liu, K., Cai, M., Hu, C., Sun, X., Cheng, Q., Jia, W., ... & Zhao, X. (2019). Selenium (Se) reduces Sclerotinia stem rot disease incidence of oilseed rape by increasing plant Se concentration and shifting soil microbial community and functional profiles.?Environmental Pollution,?254, 113051.",,,
Burkholderia,PlantHarmful/Beneficial,Plant pathogen/Biocontrol/PGP/StressResistance,NitrogenFixation/PSolubilization/Ksolubilization/IAA/ACC/Siderophores/Halotolerant,"Eberl, L., & Vandamme, P. (2016). Members of the genus Burkholderia: good and bad guys. F1000Research, 5.","Bull, C. T., De Boer, S. H., Denny, T. P., Firrao, G., Saux, M. F. L., Saddler, G. S., ... & Takikawa, Y. (2010). Comprehensive list of names of plant pathogenic bacteria, 1980-2007.?Journal of plant pathology, 551-592.",,
Buttiauxella,PlantBeneficial,PGP,PSolubilization,"Wang, M., Sun, H., & Xu, Z. (2022). Analysis of Blueberry Plant Rhizosphere Bacterial Diversity and Selection of Plant Growth Promoting Rhizobacteria. Current Microbiology, 79(11), 1-13.",,,
Calothrix,PlantBeneficial,PGP,IAA,"Rai, A. N., Singh, A. K., & Syiem, M. B. (2019). Plant growth-promoting abilities in cyanobacteria. In Cyanobacteria (pp. 459-476). Academic Press.",,,
Carnobacterium,PlantBeneficial,Biocontrol/PGP/StressResistance,IAA/ACC/Halotolerant,"Jain, S., Vaishnav, A., Kasotia, A., Kumari, S., Gaur, R. K., & Choudhary, D. K. (2014). Rhizobacterium-mediated growth promotion and expression of stress enzymes in Glycine max L. Merrill against Fusarium wilt upon challenge inoculation.?World Journal of Microbiology and Biotechnology,?30(2), 399-406.",,,
Catellatospora,PlantBeneficial,PGP,,"Hamedi, J., & Mohammadipanah, F. (2015). Biotechnological application and taxonomical distribution of plant growth promoting actinobacteria. Journal of industrial microbiology and biotechnology, 42(2), 157-171.",,,
Caulobacter,PlantBeneficial,PGP,NitrogenFixation/IAA/PSolubilization/Siderophores,"Chai, Y. N., Futrell, S., & Schachtman, D. P. (2022). Assessment of Bacterial Inoculant Delivery Methods for Cereal Crops. Frontiers in microbiology, 13, 791110.","Berrios, L. (2021). Complete genome sequence of the plant-growth-promoting bacterium Caulobacter segnis CBR1. Current Microbiology, 78(8), 2935-2942.",,
Cedecea,PlantBeneficial,PGP,PSolubilization/Siderophores,"Pontes, A. P., Souza, R. D., Granada, C. E., & Passaglia, L. M. (2015). Screening of plant growth promoting bacteria associated with barley plants (Hordeum vulgare L.) cultivated in South Brazil.?Biota Neotropica,?15.",,,
Cellulomonas,PlantBeneficial,Biocontrol,,"Ahmed, I., Kudo, T., Abbas, S., Ehsan, M., Iino, T., Fujiwara, T., & Ohkuma, M. (2014). Cellulomonas pakistanensis sp. nov., a moderately halotolerant Actinobacteria. International journal of systematic and evolutionary microbiology, 64(Pt_7), 2305-2311.",,,
Cellulosimicrobium,PlantBeneficial,PGP,PSolubilization,"Panwar, M., Tewari, R., & Nayyar, H. (2014). Microbial consortium of plant growth-promoting rhizobacteria improves the performance of plants growing in stressed soils: an overview. Phosphate solubilizing microorganisms, 257-285.",,,
Cellvibrio,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Chitinophaga,PlantBeneficial,PGP,IAA/Psolubilization/Siderophores,"Mehmood, M. A., Fu, Y., Zhao, H., Cheng, J., Xie, J., & Jiang, D. (2022). Enrichment of bacteria involved in the nitrogen cycle and plant growth promotion in soil by sclerotia of rice sheath blight fungus. Stress Biology, 2(1), 1-13.","Apimeteethamrong, S., & Kittiwongwattana, C. (2019). Diversity and plant growth promoting activities of rice epiphytic bacteria.?Current Applied Science and Technology,?19(2), 66-79.",,
Chlorobium,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Chlorogloeopsis,PlantBeneficial,PGP,Cytokinin,"Rai, A. N., Singh, A. K., & Syiem, M. B. (2019). Plant growth-promoting abilities in cyanobacteria. In Cyanobacteria (pp. 459-476). Academic Press.",,,
Chromobacterium,PlantBeneficial,Biocontrol/PGP,Psolubilization/Siderophores,"Pant, R., Pandey, P., & Kotoky, R. (2016). Rhizosphere mediated biodegradation of 1, 4-dichlorobenzene by plant growth promoting rhizobacteria of Jatropha curcas.?Ecological Engineering,?94, 50-56.","Han, J. H., Park, G. C., & Kim, K. S. (2017). Antagonistic evaluation of Chromobacterium sp. JH7 for biological control of ginseng root rot caused by Cylindrocarpon destructans.?Mycobiology,?45(4), 370-378.",,
Chromohalobacter,PlantBeneficial,Biocontrol,,"Etesami, H., & Glick, B. R. (2020). Halotolerant plant growth每promoting bacteria: Prospects for alleviating salinity stress in plants.?Environmental and Experimental Botany,?178, 104124.",,,
Chroococcidiopsis,PlantBeneficial,Biocontrol/PGP,IAA,"Bagul, S. Y., Vishwakarma, R., Chakdar, H., Pandiyan, K., & Bandeppa, S. Plant Growth-promoting and Biocontrol Potential of Selected Cyanobacteria from Stress Environment.",,,
Chryseobacterium,PlantBeneficial,PGP,IAA/ACC/Psolubilization/Siderophores,"Mehmood, M. A., Fu, Y., Zhao, H., Cheng, J., Xie, J., & Jiang, D. (2022). Enrichment of bacteria involved in the nitrogen cycle and plant growth promotion in soil by sclerotia of rice sheath blight fungus. Stress Biology, 2(1), 1-13.","del Carmen Montero-Calasanz, M., G ker, M., Rohde, M., Spr er, C., Schumann, P., Busse, H. J., ... & Camacho, M. (2013). Chryseobacterium hispalense sp. nov., a plant-growth-promoting bacterium isolated from a rainwater pond in an olive plant nursery, and emended descriptions of Chryseobacterium defluvii, Chryseobacterium indologenes, Chryseobacterium wanjuense and Chryseobacterium gregarium. International Journal of Systematic and Evolutionary Microbiology, 63(Pt_12), 4386-4395.",,
Chryseomicrobium,PlantBeneficial,PGP,IAA/Psolubilization/Siderophores,"Gupta, S., Bansal, S., Kaur, U., Singh, J., Kachwaya, D. S., Kumar, R., & Singh, V. (2022). Functional characterization of novel phosphate solubilizing bacteria, Chryseomicrobium imtechense, for enhanced strawberry growth and yield parameters.?Arabian Journal of Geosciences,?15(12), 1-10.",,,
